mode	independence	ind_3	ind_3_alt	mode_ind	mode_ind_3	mode_ind_3_alt	income_k	log_income_k	veh_per_driver	n_adults	non_work_mom	non_work_dad	age	female	has_lil_sib	has_big_sib	distance	log_distance	density	log_density	av_car	av_walk	av_bike	alone_avail	with_mom_dad_avail	with_mom_avail	with_dad_avail	with_non_hh_avail	with_sib_avail	with_adult_avail
9	10	10	10	910	910	910	7.45	2.0082140323914683	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
9	23	20	20	923	920	920	9.9	2.2925347571405443	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
9	24	20	30	924	920	930	12.350000000000001	2.513656063073986	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
8	21	20	20	821	820	820	14.8	2.6946271807700692	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
9	24	20	30	924	920	930	17.25	2.847812143477369	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
9	21	20	20	921	920	920	19.7	2.9806186357439426	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
7	10	10	10	710	710	710	22.150000000000002	3.097837496491145	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
8	24	20	30	824	820	830	24.6	3.202746442938317	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
7	10	10	10	710	710	710	27.05	3.2976870052924907	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
9	24	20	30	924	920	930	29.5	3.3843902633457743	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
8	24	20	30	824	820	830	31.95	3.4641721808235437	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
7	21	20	20	721	720	720	34.400000000000006	3.5380565643793527	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
8	30	30	30	830	830	830	36.85	3.6068556186353455	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
8	30	30	30	830	830	830	39.300000000000004	3.6712245188752157	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
8	23	20	20	823	820	820	41.75000000000001	3.7316994512968646	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
9	10	10	10	910	910	910	44.2	3.7887247890836524	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
9	22	20	20	922	920	920	46.650000000000006	3.842672927293353	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
9	23	20	20	923	920	920	49.10000000000001	3.893859034800475	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
8	10	10	10	810	810	810	51.550000000000004	3.942552210462969	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
7	22	20	20	722	720	720	54.00000000000001	3.9889840465642745	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
8	22	20	20	822	820	820	56.45	4.033355290595671	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
8	10	10	10	810	810	810	58.900000000000006	4.0758410906575415	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
8	23	20	20	823	820	820	61.35000000000001	4.116595171156921	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
7	24	20	30	724	720	730	63.800000000000004	4.155753190350744	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
8	21	20	20	821	820	820	66.25	4.193435464866331	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
9	22	20	20	922	920	920	68.7	4.229749199228304	1.0897868918375553	2.0440289505428226	0	0	10.158021712907116	0	0	0	1.0988150193003619	0.09423234396642508	2482.9771180796515	7.81721357003262	1	1	1	1	1	1	1	1	1	1
