"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_dp_a",2.34651312523442,0.181378487113807,12.9371082677632,0.168678210216263,13.9111810720896
"asc_do_a",-3.6370362163604,NA,NA,0.466213118557907,-7.80123096409321
"asc_wa_a",0,NA,NA,NA,NA
"asc_wp_a",1.3758716801539,0.202392648681395,6.79803189057418,0.188728332052724,7.29022328120575
"asc_wo_a",-1.1381548458823,0.290191053778965,-3.92208798672759,0.317443901235235,-3.58537316815198
"asc_ba_a",-9.89869287046175,812.541800388262,-0.0121823798673887,39.1604879109006,-0.252772460164021
"asc_bp_a",-1.24127450925067,0.414809656257501,-2.99239540479772,0.302909932088657,-4.0978336388368
"asc_bo_a",-3.38431039107046,0.638416850284442,-5.30109816111935,0.451631396743066,-7.49352329239369
"asc_dp_b",-5.59441642614031,2.63394459487015,-2.12396890847133,2.85537809227761,-1.95925591825141
"asc_do_b",-6.4647532266181,1.96669042516544,-3.28712294720929,1.26349602010508,-5.11656002373513
"asc_wa_b",0,NA,NA,NA,NA
"asc_wp_b",-5.93560813416752,1.42245996166043,-4.1727769456786,1.68985697241459,-3.51249143037608
"asc_wo_b",-1.48605846832,0.65768598921245,-2.25952581124541,0.757211921695466,-1.96253971410352
"asc_ba_b",-1.77808815168651,0.450705951511245,-3.94511797708566,0.496660274958426,-3.58008933135502
"asc_bp_b",-3.42172800069324,0.73132337123399,-4.67881669762533,0.606985598303966,-5.63724742441041
"asc_bo_b",-5.08215221839044,0.727392903724771,-6.9868047823483,0.668229459662995,-7.60539982920463
"delta_a",0,NA,NA,NA,NA
"delta_b",-1.45603373922177,0.161727070774635,-9.00303042803974,0.171771559870133,-8.47657051215345
"gamma_female_a",0,NA,NA,NA,NA
"gamma_female_b",-1.46801357930323,0.135305274773657,-10.8496404279802,0.147066095511315,-9.9819987346457
"beta_nadults_dp_a",0.000617458842927021,NA,NA,0.102382825755115,0.00603088299598114
"beta_nadults_do_a",-0.201111705230792,0.0717375107857079,-2.80343857806199,0.0667631037925378,-3.01231808898121
"beta_nadults_wa_a",0,NA,NA,NA,NA
"beta_nadults_wp_a",-0.3095992326981,0.0874303072840227,-3.54109738734359,0.08209022371824,-3.77145071209385
"beta_nadults_wo_a",0.184291645674339,0.106650962028893,1.72798859164919,0.118068640821691,1.56088563730194
"beta_nadults_ba_a",-3.20411227839025,1096.23438497912,-0.00292283504540068,58.468509577081,-0.054800649128334
"beta_nadults_bp_a",-0.309132219054844,0.197016107970139,-1.5690707843122,0.128630183856502,-2.40326344709035
"beta_nadults_bo_a",0.1788132062943,0.244388326072121,0.7316765459637,0.109787235212405,1.62872492369766
"beta_nadults_dp_b",1.38932949917963,0.803746058599319,1.72856772896754,0.381230486643288,3.64432947483449
"beta_nadults_do_b",2.09837150072737,0.687645618549192,3.05153038734479,0.753465133375586,2.78496164955436
"beta_nadults_wa_b",0,NA,NA,NA,NA
"beta_nadults_wp_b",2.34880895935794,0.475690670703537,4.93768136315161,0.590616051534997,3.97687965515574
"beta_nadults_wo_b",0.532489444267879,0.374564855829262,1.42162147884639,0.4296609351772,1.2393247807094
"beta_nadults_ba_b",1.05609870244192,0.274192129958982,3.85167401631807,0.311824015981043,3.38684209142546
"beta_nadults_bp_b",1.22896025980375,0.382932964116445,3.20933524915876,0.353389482023439,3.47763677845466
"beta_nadults_bo_b",1.81722643103303,0.36991474729333,4.91255470167031,0.383826542178544,4.73449913265174
