"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_dp_a",1.47494822896845,NA,NA,NA,NA
"asc_do_a",-0.652648434611862,NA,NA,NA,NA
"asc_wa_a",0,NA,NA,NA,NA
"asc_wp_a",1.4533582670581,NA,NA,NA,NA
"asc_wo_a",1.3912748393758,NA,NA,NA,NA
"asc_ba_a",-2.68037280033417,NA,NA,NA,NA
"asc_bp_a",-3.8982341413663,NA,NA,NA,NA
"asc_bo_a",1.67066652063058,NA,NA,NA,NA
"asc_dp_b",2.79282795409867,NA,NA,NA,NA
"asc_do_b",-0.232074216496348,NA,NA,NA,NA
"asc_wa_b",0,NA,NA,NA,NA
"asc_wp_b",3.22205648586188,NA,NA,NA,NA
"asc_wo_b",-23.7689950962365,NA,NA,NA,NA
"asc_ba_b",2.62452499626907,NA,NA,NA,NA
"asc_bp_b",0.416250661132817,NA,NA,NA,NA
"asc_bo_b",-4.33790863694813,NA,NA,NA,NA
"delta_a",0,NA,NA,NA,NA
"delta_b",-0.939281478689589,NA,NA,NA,NA
"gamma_female_a",0,NA,NA,NA,NA
"gamma_female_b",-0.562293028744362,NA,NA,NA,NA
"beta_nadults_dp_a",-0.617469542729999,NA,NA,NA,NA
"beta_nadults_do_a",0.296539334847139,NA,NA,NA,NA
"beta_nadults_wa_a",0,NA,NA,NA,NA
"beta_nadults_wp_a",0.296824725960032,NA,NA,NA,NA
"beta_nadults_wo_a",0.237841424018044,NA,NA,NA,NA
"beta_nadults_ba_a",-4.18399272539837,NA,NA,NA,NA
"beta_nadults_bp_a",0.97288371669989,NA,NA,NA,NA
"beta_nadults_bo_a",-0.771319082487359,NA,NA,NA,NA
"beta_nadults_dp_b",-1.34778063178807,NA,NA,NA,NA
"beta_nadults_do_b",-1.6609465516454,NA,NA,NA,NA
"beta_nadults_wa_b",0,NA,NA,NA,NA
"beta_nadults_wp_b",-5.33618017351271,NA,NA,NA,NA
"beta_nadults_wo_b",2.7901732297613,NA,NA,NA,NA
"beta_nadults_ba_b",-1.87435932482256,NA,NA,NA,NA
"beta_nadults_bp_b",-1.22084635531583,NA,NA,NA,NA
"beta_nadults_bo_b",-0.384467893573023,NA,NA,NA,NA
"lambda_alone",-1.61421840612142,NA,NA,NA,NA
"lambda_others",0.000162476259652829,NA,NA,NA,NA
"lambda_parent",0.0165817296018941,NA,NA,NA,NA
"lambda_walk",6.42668607510027,NA,NA,NA,NA
"lambda_drive",1.57872582915421,NA,NA,NA,NA
"lambda_bike",3.52068167249873,NA,NA,NA,NA
